NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.4,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.4,
Experiment Name,sample2bloom 2024-07-11 11-42-28.nano,
Operator Name,kasson,
Time Captured,11:42:28  11/07/2024,
Sample Description,bloom-heat2,
Pre-treatment,,
Diluent,9x,
Remarks,,
,,
,,,,,
Filename:,sample2bloom 2024-07-11 11-42-49,sample2bloom 2024-07-11 11-44-00,sample2bloom 2024-07-11 11-45-12,sample2bloom 2024-07-11 11-46-24,sample2bloom 2024-07-11 11-47-35,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,20.527,20.578,20.568,20.589,20.609,
Viscosity/cP,0.987247,0.986026,0.986265,0.985763,0.985286,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,14,14,14,15,15,
Slider Shutter,1259,1259,1259,1206,1206,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.480000,31.480000,31.480000,30.150000,30.150000,
Camera Histogram Upper Limit,6588,6588,6588,3294,3294,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0000,12.0000,12.0000,12.0000,10.2016,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
230.5,7,451,0,1952872,4251,391517,390340,
231.5,4,550,0,1928931,3878,386672,385565,
232.5,2,673,0,1896002,3531,380042,378991,
233.5,0,826,0,1854502,3211,371708,370699,
234.5,0,1018,0,1804993,2914,361785,360802,
235.5,0,1257,0,1748168,2642,350413,349439,
236.5,0,1554,0,1684832,2391,337755,336770,
237.5,0,1923,0,1615885,2161,323994,322973,
238.5,0,2381,0,1542291,1950,309324,308242,
239.5,0,2947,0,1465059,1758,293953,292777,
240.5,0,3643,0,1385211,1583,278087,276782,
241.5,0,4496,0,1303759,1423,261936,260457,
242.5,0,5536,0,1221679,1278,245699,243997,
243.5,0,6798,0,1139887,1147,229566,227584,
244.5,0,8320,0,1059225,1028,213715,211383,
245.5,0,10145,0,980443,921,198302,195545,
246.5,0,12317,0,904192,824,183467,180197,
247.5,0,14884,0,831013,737,169327,165446,
248.5,0,17895,0,761339,659,155979,151379,
249.5,0,21399,0,695497,589,143497,138061,
250.5,0,25440,0,633711,526,131935,125539,
251.5,0,30060,0,576111,470,121328,113843,
252.5,0,35292,0,522742,419,111691,102988,
253.5,0,41158,0,473577,374,103022,92979,
254.5,0,47668,0,428526,334,95306,83813,
255.5,0,54814,0,387449,298,88512,75482,
256.5,0,62569,0,350166,266,82600,67977,
257.5,0,70883,0,316471,238,77518,61291,
258.5,0,79684,0,286135,212,73206,55420,
259.5,0,88876,0,258923,190,69598,50359,
260.5,0,98337,0,234592,170,66620,46105,
261.5,0,107925,0,212905,152,64196,42644,
262.5,0,117476,0,193628,136,62248,39949,
263.5,0,126812,0,176540,122,60695,37966,
264.5,0,135743,0,161433,110,59457,36614,
265.5,0,144077,0,148111,98,58457,35783,
266.5,0,151622,0,136395,88,57621,35350,
267.5,0,158199,0,126122,80,56880,35183,
